Donor Type,Donor Age,Donor State of Residence,All Donors - All Genders,All Donors - Male,All Donors - Female,All Donors - Unknown,Kidney - All Genders,Kidney - Male,Kidney - Female,Kidney - Unknown,Liver - All Genders,Liver - Male,Liver - Female,Liver - Unknown,Heart - All Genders,Heart - Male,Heart - Female,Heart - Unknown,Pancreas - All Genders,Pancreas - Male,Pancreas - Female,Pancreas - Unknown,Lung - All Genders,Lung - Male,Lung - Female,Lung - Unknown,Intestine - All Genders,Intestine - Male,Intestine - Female,Intestine - Unknown
,,Wyoming,10,5,5,0,4,3,1,0,4,2,2,0,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
,1-5 Years,All Donor States of Residence,6692,3902,2790,0,6183,3598,2585,0,5362,3115,2247,0,2955,1709,1246,0,541,331,210,0,301,165,136,0,789,458,331,0
,,Alabama,106,57,49,0,98,51,47,0,88,49,39,0,45,27,18,0,6,3,3,0,4,1,3,0,12,6,6,0
,,Alaska,27,17,10,0,25,16,9,0,20,13,7,0,7,6,1,0,1,1,0,0,0,0,0,0,0,0,0,0
,,Arizona,141,96,45,0,133,89,44,0,117,79,38,0,71,52,19,0,5,4,1,0,3,1,2,0,14,9,5,0
,,Arkansas,59,39,20,0,56,36,20,0,45,30,15,0,27,14,13,0,6,4,2,0,3,0,3,0,6,4,2,0
,,California,639,378,261,0,575,347,228,0,520,302,218,0,317,182,135,0,21,13,8,0,24,9,15,0,45,25,20,0
,,Colorado,75,48,27,0,64,40,24,0,57,33,24,0,32,23,9,0,3,1,2,0,2,2,0,0,9,7,2,0
,,Connecticut,43,23,20,0,41,22,19,0,32,14,18,0,15,7,8,0,3,3,0,0,4,3,1,0,7,4,3,0
,,Delaware,19,11,8,0,19,11,8,0,15,9,6,0,7,5,2,0,0,0,0,0,1,1,0,0,1,1,0,0
,,District of Columbia,7,5,2,0,7,5,2,0,5,4,1,0,3,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0
,,Florida,487,303,184,0,452,281,171,0,411,253,158,0,195,115,80,0,89,57,32,0,16,10,6,0,86,59,27,0
,,Georgia,224,120,104,0,212,111,101,0,183,95,88,0,116,63,53,0,19,9,10,0,11,2,9,0,31,18,13,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hawaii,15,8,7,0,14,7,7,0,10,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Idaho,59,37,22,0,57,36,21,0,46,29,17,0,26,17,9,0,0,0,0,0,3,2,1,0,1,1,0,0
,,Illinois,290,172,118,0,261,151,110,0,232,134,98,0,119,68,51,0,17,12,5,0,20,14,6,0,39,20,19,0
,,Indiana,159,92,67,0,151,89,62,0,133,77,56,0,68,40,28,0,27,16,11,0,12,6,6,0,24,14,10,0
,,Iowa,77,44,33,0,73,42,31,0,63,37,26,0,37,17,20,0,7,4,3,0,1,1,0,0,16,6,10,0
,,Kansas,97,48,49,0,85,41,44,0,76,40,36,0,45,20,25,0,8,3,5,0,4,1,3,0,15,10,5,0
,,Kentucky,96,59,37,0,88,54,34,0,76,46,30,0,41,25,16,0,13,9,4,0,2,1,1,0,17,8,9,0
,,Louisiana,136,85,51,0,124,78,46,0,119,73,46,0,66,41,25,0,20,12,8,0,7,3,4,0,20,11,9,0
,,Maine,19,8,11,0,18,8,10,0,17,8,9,0,13,6,7,0,1,0,1,0,0,0,0,0,2,1,1,0
,,Maryland,97,47,50,0,93,44,49,0,69,32,37,0,36,21,15,0,6,2,4,0,11,5,6,0,5,1,4,0
,,Massachusetts,54,30,24,0,51,29,22,0,41,23,18,0,20,12,8,0,3,2,1,0,3,0,3,0,5,4,1,0
,,Michigan,209,114,95,0,189,103,86,0,170,88,82,0,89,53,36,0,21,13,8,0,9,5,4,0,36,19,17,0
,,Minnesota,99,55,44,0,91,51,40,0,85,47,38,0,52,25,27,0,8,4,4,0,11,10,1,0,16,10,6,0
,,Mississippi,91,50,41,0,85,46,39,0,72,42,30,0,43,24,19,0,11,3,8,0,3,2,1,0,17,7,10,0
,,Missouri,157,78,79,0,137,66,71,0,134,66,68,0,83,40,43,0,19,7,12,0,14,6,8,0,25,12,13,0
,,Montana,22,7,15,0,20,6,14,0,20,7,13,0,14,4,10,0,2,1,1,0,0,0,0,0,3,2,1,0
,,Nebraska,47,27,20,0,41,24,17,0,41,25,16,0,20,14,6,0,6,3,3,0,2,2,0,0,8,4,4,0
,,Nevada,57,33,24,0,54,31,23,0,49,31,18,0,28,16,12,0,1,1,0,0,1,1,0,0,4,3,1,0
,,New Hampshire,7,4,3,0,7,4,3,0,7,4,3,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,New Jersey,166,88,78,0,153,80,73,0,118,66,52,0,72,40,32,0,7,6,1,0,9,4,5,0,14,8,6,0
,,New Mexico,47,27,20,0,43,25,18,0,40,24,16,0,19,16,3,0,4,1,3,0,4,2,2,0,1,1,0,0
,,New York,274,163,111,0,251,154,97,0,203,125,78,0,111,66,45,0,29,18,11,0,19,11,8,0,32,19,13,0
,,North Carolina,193,115,78,0,178,108,70,0,158,90,68,0,75,46,29,0,22,14,8,0,9,7,2,0,38,21,17,0
,,North Dakota,20,4,16,0,19,4,15,0,16,2,14,0,6,3,3,0,2,1,1,0,0,0,0,0,2,0,2,0
,,Ohio,232,144,88,0,213,132,81,0,182,113,69,0,90,56,34,0,18,13,5,0,10,3,7,0,24,15,9,0
,,Oklahoma,118,65,53,0,113,61,52,0,90,47,43,0,56,27,29,0,4,0,4,0,2,0,2,0,11,5,6,0
,,Oregon,75,44,31,0,68,39,29,0,62,39,23,0,38,20,18,0,2,2,0,0,0,0,0,0,2,2,0,0
,,Pennsylvania,283,180,103,0,274,173,101,0,219,136,83,0,107,61,46,0,20,12,8,0,21,9,12,0,26,13,13,0
,,Puerto Rico,33,22,11,0,33,22,11,0,24,17,7,0,4,3,1,0,2,2,0,0,0,0,0,0,4,2,2,0
,,Rhode Island,10,6,4,0,10,6,4,0,6,5,1,0,3,2,1,0,1,1,0,0,1,1,0,0,1,1,0,0
,,South Carolina,97,61,36,0,92,58,34,0,86,55,31,0,54,31,23,0,13,11,2,0,2,1,1,0,18,15,3,0
,,South Dakota,26,20,6,0,24,18,6,0,23,19,4,0,7,6,1,0,5,5,0,0,4,3,1,0,4,4,0,0
,,State unassigned,97,57,40,0,83,46,37,0,76,45,31,0,35,25,10,0,3,1,2,0,5,3,2,0,4,2,2,0
,,Tennessee,179,108,71,0,166,101,65,0,153,89,64,0,95,57,38,0,30,19,11,0,6,5,1,0,37,20,17,0
,,Texas,729,415,314,0,686,387,299,0,573,329,244,0,351,194,157,0,28,18,10,0,22,19,3,0,69,40,29,0
,,Utah,76,44,32,0,71,40,31,0,50,30,20,0,24,14,10,0,2,2,0,0,1,1,0,0,2,2,0,0
,,Vermont,7,4,3,0,7,4,3,0,6,4,2,0,4,2,2,0,1,1,0,0,0,0,0,0,1,1,0,0
,,Virginia,142,86,56,0,134,82,52,0,108,66,42,0,57,38,19,0,11,6,5,0,7,4,3,0,14,7,7,0
,,Washington,102,57,45,0,94,52,42,0,79,42,37,0,46,25,21,0,3,1,2,0,2,1,1,0,9,6,3,0
,,West Virginia,46,23,23,0,43,22,21,0,34,16,18,0,18,7,11,0,2,2,0,0,4,1,3,0,3,3,0,0
,,Wisconsin,111,69,42,0,94,61,33,0,91,56,35,0,39,27,12,0,8,7,1,0,2,2,0,0,9,5,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wyoming,14,5,9,0,13,4,9,0,12,4,8,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,6-10 Years,All Donor States of Residence,4407,2683,1724,0,4304,2623,1681,0,3682,2248,1434,0,1709,1054,655,0,933,606,327,0,502,280,222,0,326,198,128,0
,,Alabama,83,44,39,0,81,44,37,0,71,36,35,0,28,15,13,0,8,4,4,0,7,4,3,0,6,4,2,0
,,Alaska,17,13,4,0,17,13,4,0,13,10,3,0,4,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0
,,Arizona,83,57,26,0,80,56,24,0,73,50,23,0,26,18,8,0,10,7,3,0,5,5,0,0,8,7,1,0
,,Arkansas,43,22,21,0,42,22,20,0,35,19,16,0,21,12,9,0,9,4,5,0,5,2,3,0,3,0,3,0
,,California,404,257,147,0,390,250,140,0,351,227,124,0,175,111,64,0,77,59,18,0,51,29,22,0,20,13,7,0
,,Colorado,51,33,18,0,49,33,16,0,39,29,10,0,21,16,5,0,13,10,3,0,1,1,0,0,3,1,2,0
,,Connecticut,38,23,15,0,37,23,14,0,29,17,12,0,7,4,3,0,7,3,4,0,8,5,3,0,4,1,3,0
,,Delaware,17,8,9,0,17,8,9,0,12,5,7,0,2,1,1,0,3,1,2,0,2,1,1,0,0,0,0,0
,,District of Columbia,9,7,2,0,8,6,2,0,9,7,2,0,3,2,1,0,2,2,0,0,0,0,0,0,3,2,1,0
,,Florida,286,178,108,0,275,173,102,0,242,154,88,0,117,71,46,0,61,43,18,0,42,23,19,0,40,25,15,0
,,Georgia,156,99,57,0,155,99,56,0,124,78,46,0,81,51,30,0,18,13,5,0,23,14,9,0,16,9,7,0
,,Hawaii,16,11,5,0,15,10,5,0,12,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Idaho,30,21,9,0,29,20,9,0,25,16,9,0,12,9,3,0,6,4,2,0,1,0,1,0,4,4,0,0
,,Illinois,177,111,66,0,174,108,66,0,151,91,60,0,63,36,27,0,56,33,23,0,25,10,15,0,9,5,4,0
,,Indiana,106,59,47,0,102,57,45,0,87,51,36,0,41,20,21,0,27,14,13,0,13,5,8,0,7,6,1,0
,,Iowa,48,25,23,0,48,25,23,0,33,18,15,0,16,11,5,0,14,10,4,0,5,2,3,0,1,1,0,0
,,Kansas,67,41,26,0,66,41,25,0,52,34,18,0,28,16,12,0,11,6,5,0,9,5,4,0,3,3,0,0
,,Kentucky,64,37,27,0,62,36,26,0,52,31,21,0,22,15,7,0,14,9,5,0,6,3,3,0,4,1,3,0
,,Louisiana,98,58,40,0,95,56,39,0,87,50,37,0,40,27,13,0,26,14,12,0,13,9,4,0,7,6,1,0
,,Maine,20,12,8,0,20,12,8,0,15,9,6,0,8,4,4,0,0,0,0,0,3,2,1,0,2,1,1,0
,,Maryland,62,36,26,0,61,36,25,0,49,28,21,0,22,14,8,0,20,11,9,0,10,5,5,0,2,1,1,0
,,Massachusetts,39,17,22,0,39,17,22,0,33,15,18,0,15,9,6,0,7,5,2,0,3,1,2,0,4,2,2,0
,,Michigan,170,96,74,0,166,93,73,0,138,79,59,0,67,40,27,0,34,18,16,0,28,13,15,0,17,9,8,0
,,Minnesota,82,51,31,0,82,51,31,0,72,44,28,0,31,17,14,0,35,24,11,0,14,6,8,0,6,4,2,0
,,Mississippi,51,35,16,0,51,35,16,0,43,31,12,0,24,14,10,0,14,11,3,0,6,4,2,0,10,6,4,0
,,Missouri,99,63,36,0,97,62,35,0,87,54,33,0,39,28,11,0,14,9,5,0,17,12,5,0,11,8,3,0
,,Montana,23,16,7,0,23,16,7,0,20,15,5,0,11,5,6,0,3,1,2,0,2,1,1,0,1,1,0,0
,,Nebraska,24,14,10,0,23,14,9,0,20,12,8,0,6,2,4,0,12,8,4,0,2,1,1,0,6,2,4,0
,,Nevada,32,20,12,0,31,19,12,0,27,17,10,0,14,9,5,0,5,5,0,0,0,0,0,0,5,3,2,0
,,New Hampshire,7,4,3,0,7,4,3,0,5,2,3,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
,,New Jersey,97,53,44,0,92,49,43,0,71,38,33,0,30,20,10,0,20,12,8,0,8,6,2,0,4,2,2,0
,,New Mexico,32,17,15,0,31,16,15,0,31,16,15,0,13,7,6,0,2,2,0,0,2,1,1,0,2,1,1,0
,,New York,184,110,74,0,177,105,72,0,140,85,55,0,75,48,27,0,28,16,12,0,13,9,4,0,11,7,4,0
,,North Carolina,132,72,60,0,130,70,60,0,119,65,54,0,51,27,24,0,41,27,14,0,20,9,11,0,11,7,4,0
,,North Dakota,14,8,6,0,14,8,6,0,12,8,4,0,6,3,3,0,3,3,0,0,1,1,0,0,5,3,2,0
,,Ohio,157,99,58,0,154,96,58,0,125,78,47,0,53,37,16,0,51,33,18,0,19,8,11,0,9,7,2,0
,,Oklahoma,71,46,25,0,68,44,24,0,55,35,20,0,29,18,11,0,5,2,3,0,4,1,3,0,6,4,2,0
,,Oregon,42,29,13,0,41,29,12,0,36,25,11,0,15,10,5,0,5,5,0,0,2,1,1,0,2,2,0,0
,,Pennsylvania,206,122,84,0,203,120,83,0,170,100,70,0,79,47,32,0,64,43,21,0,27,19,8,0,13,6,7,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Puerto Rico,25,17,8,0,23,16,7,0,21,14,7,0,6,4,2,0,5,3,2,0,0,0,0,0,3,2,1,0
,,Rhode Island,12,8,4,0,11,7,4,0,9,6,3,0,5,3,2,0,2,0,2,0,2,0,2,0,1,1,0,0
,,South Carolina,75,40,35,0,74,39,35,0,66,37,29,0,36,19,17,0,22,11,11,0,8,5,3,0,5,2,3,0
,,South Dakota,20,12,8,0,20,12,8,0,20,12,8,0,10,6,4,0,7,3,4,0,5,2,3,0,4,3,1,0
,,State unassigned,77,53,24,0,76,52,24,0,67,45,22,0,30,21,9,0,13,7,6,0,10,6,4,0,4,1,3,0
,,Tennessee,96,66,30,0,95,65,30,0,77,53,24,0,37,24,13,0,25,20,5,0,9,6,3,0,8,6,2,0
,,Texas,399,242,157,0,394,239,155,0,339,201,138,0,153,91,62,0,50,33,17,0,36,21,15,0,19,11,8,0
,,Utah,51,31,20,0,51,31,20,0,48,28,20,0,20,15,5,0,9,7,2,0,0,0,0,0,3,1,2,0
,,Vermont,10,3,7,0,10,3,7,0,10,3,7,0,4,2,2,0,1,1,0,0,1,0,1,0,0,0,0,0
,,Virginia,93,57,36,0,93,57,36,0,77,49,28,0,37,21,16,0,17,14,3,0,12,7,5,0,8,4,4,0
,,Washington,67,42,25,0,63,39,24,0,56,33,23,0,22,16,6,0,7,6,1,0,4,3,1,0,1,0,1,0
,,West Virginia,40,24,16,0,40,24,16,0,35,21,14,0,12,6,6,0,2,0,2,0,5,3,2,0,2,1,1,0
,,Wisconsin,99,61,38,0,96,60,36,0,89,57,32,0,40,27,13,0,44,29,15,0,13,9,4,0,3,2,1,0
,,Wyoming,6,3,3,0,6,3,3,0,3,1,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
,11-17 Years,All Donor States of Residence,16509,11189,5320,0,16155,10948,5207,0,14472,9864,4608,0,9563,6882,2681,0,7709,5382,2327,0,4568,3158,1410,0,440,285,155,0
,,Alabama,328,225,103,0,321,221,100,0,268,185,83,0,180,133,47,0,131,95,36,0,85,65,20,0,5,5,0,0
,,Alaska,58,46,12,0,57,45,12,0,49,39,10,0,27,25,2,0,31,25,6,0,16,12,4,0,0,0,0,0
,,Arizona,303,204,99,0,298,200,98,0,271,180,91,0,158,110,48,0,120,73,47,0,80,55,25,0,5,4,1,0
,,Arkansas,177,118,59,0,172,115,57,0,153,101,52,0,108,77,31,0,59,41,18,0,50,25,25,0,6,3,3,0
,,California,1494,1062,432,0,1453,1033,420,0,1347,958,389,0,946,706,240,0,692,511,181,0,427,303,124,0,22,12,10,0
,,Colorado,291,194,97,0,284,190,94,0,268,181,87,0,185,128,57,0,156,103,53,0,76,48,28,0,6,4,2,0
,,Connecticut,130,97,33,0,124,92,32,0,104,75,29,0,77,58,19,0,50,36,14,0,21,14,7,0,1,0,1,0
,,Delaware,53,35,18,0,51,34,17,0,46,30,16,0,22,15,7,0,23,12,11,0,11,7,4,0,1,1,0,0
,,District of Columbia,32,25,7,0,31,24,7,0,29,23,6,0,22,19,3,0,24,19,5,0,9,5,4,0,0,0,0,0
,,Florida,955,628,327,0,935,615,320,0,826,547,279,0,513,368,145,0,422,293,129,0,252,170,82,0,63,38,25,0
,,Georgia,497,344,153,0,489,338,151,0,438,308,130,0,310,227,83,0,197,148,49,0,133,97,36,0,12,5,7,0
,,Hawaii,35,27,8,0,34,26,8,0,32,25,7,0,9,8,1,0,13,10,3,0,2,2,0,0,0,0,0,0
,,Idaho,111,72,39,0,108,70,38,0,100,66,34,0,72,50,22,0,55,39,16,0,24,15,9,0,4,1,3,0
,,Illinois,717,505,212,0,704,499,205,0,623,439,184,0,380,288,92,0,386,285,101,0,236,172,64,0,14,8,6,0
,,Indiana,412,286,126,0,405,280,125,0,379,261,118,0,272,197,75,0,234,160,74,0,121,82,39,0,39,25,14,0
,,Iowa,204,119,85,0,198,113,85,0,187,112,75,0,106,67,39,0,113,74,39,0,57,34,23,0,3,0,3,0
,,Kansas,257,170,87,0,255,169,86,0,233,152,81,0,137,100,37,0,133,87,46,0,77,51,26,0,6,6,0,0
,,Kentucky,237,153,84,0,233,149,84,0,213,139,74,0,135,92,43,0,103,67,36,0,84,56,28,0,4,3,1,0
,,Louisiana,384,267,117,0,376,262,114,0,356,247,109,0,246,180,66,0,210,144,66,0,125,96,29,0,16,11,5,0
,,Maine,69,44,25,0,67,42,25,0,61,37,24,0,37,28,9,0,33,19,14,0,7,5,2,0,1,1,0,0
,,Maryland,264,176,88,0,258,172,86,0,232,158,74,0,152,108,44,0,157,109,48,0,94,66,28,0,10,6,4,0
,,Massachusetts,213,144,69,0,208,141,67,0,167,116,51,0,113,81,32,0,81,54,27,0,42,25,17,0,3,1,2,0
,,Michigan,619,413,206,0,605,405,200,0,514,345,169,0,322,222,100,0,264,185,79,0,167,118,49,0,21,16,5,0
,,Minnesota,270,178,92,0,266,175,91,0,244,164,80,0,156,103,53,0,184,123,61,0,87,49,38,0,7,6,1,0
,,Mississippi,223,138,85,0,217,135,82,0,184,118,66,0,134,89,45,0,92,55,37,0,53,39,14,0,13,7,6,0
,,Missouri,437,289,148,0,426,283,143,0,398,263,135,0,264,190,74,0,192,133,59,0,143,101,42,0,13,7,6,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Montana,78,51,27,0,78,51,27,0,71,47,24,0,46,34,12,0,36,24,12,0,19,14,5,0,0,0,0,0
,,Nebraska,132,77,55,0,131,76,55,0,124,74,50,0,68,42,26,0,86,55,31,0,33,22,11,0,6,6,0,0
,,Nevada,140,88,52,0,139,87,52,0,131,82,49,0,91,58,33,0,61,39,22,0,38,22,16,0,5,3,2,0
,,New Hampshire,55,41,14,0,53,40,13,0,43,31,12,0,27,21,6,0,27,19,8,0,12,9,3,0,0,0,0,0
,,New Jersey,284,191,93,0,280,190,90,0,244,162,82,0,161,110,51,0,142,100,42,0,70,42,28,0,5,2,3,0
,,New Mexico,136,94,42,0,132,91,41,0,115,80,35,0,78,56,22,0,31,20,11,0,35,25,10,0,3,2,1,0
,,New York,596,386,210,0,578,371,207,0,502,330,172,0,350,240,110,0,252,164,88,0,130,84,46,0,22,15,7,0
,,North Carolina,456,306,150,0,449,300,149,0,393,259,134,0,262,188,74,0,248,170,78,0,128,87,41,0,7,4,3,0
,,North Dakota,45,29,16,0,44,29,15,0,40,26,14,0,24,20,4,0,30,20,10,0,11,5,6,0,1,1,0,0
,,Ohio,630,429,201,0,622,425,197,0,552,388,164,0,364,270,94,0,364,263,101,0,199,140,59,0,21,12,9,0
,,Oklahoma,282,196,86,0,275,190,85,0,253,177,76,0,160,111,49,0,77,58,19,0,64,47,17,0,2,2,0,0
,,Oregon,189,121,68,0,188,120,68,0,169,109,60,0,91,68,23,0,78,59,19,0,38,27,11,0,1,1,0,0
,,Pennsylvania,691,483,208,0,675,471,204,0,611,435,176,0,386,280,106,0,365,263,102,0,210,149,61,0,24,17,7,0
,,Puerto Rico,111,87,24,0,110,86,24,0,89,70,19,0,48,41,7,0,41,28,13,0,27,19,8,0,5,4,1,0
,,Rhode Island,23,19,4,0,21,17,4,0,19,16,3,0,16,13,3,0,13,10,3,0,4,4,0,0,0,0,0,0
,,South Carolina,273,190,83,0,271,188,83,0,246,172,74,0,178,137,41,0,133,98,35,0,86,68,18,0,4,3,1,0
,,South Dakota,51,29,22,0,51,29,22,0,45,26,19,0,27,18,9,0,36,21,15,0,23,15,8,0,2,1,1,0
,,State unassigned,273,196,77,0,265,193,72,0,212,158,54,0,154,114,40,0,79,63,16,0,54,36,18,0,3,1,2,0
,,Tennessee,403,263,140,0,393,256,137,0,348,231,117,0,247,183,64,0,210,143,67,0,124,86,38,0,11,8,3,0
,,Texas,1499,1013,486,0,1458,985,473,0,1308,892,416,0,929,664,265,0,523,376,147,0,440,311,129,0,19,15,4,0
,,Utah,195,124,71,0,189,122,67,0,167,108,59,0,94,55,39,0,78,50,28,0,38,25,13,0,2,2,0,0
,,Vermont,35,24,11,0,35,24,11,0,32,23,9,0,20,14,6,0,13,9,4,0,9,7,2,0,1,0,1,0
,,Virginia,356,259,97,0,348,252,96,0,313,226,87,0,209,156,53,0,153,111,42,0,98,72,26,0,8,5,3,0
,,Washington,277,184,93,0,270,180,90,0,251,165,86,0,149,109,40,0,121,85,36,0,65,41,24,0,2,2,0,0
,,West Virginia,118,78,40,0,117,77,40,0,103,66,37,0,62,46,16,0,61,42,19,0,31,23,8,0,4,4,0,0
,,Wisconsin,364,234,130,0,363,234,129,0,328,210,118,0,204,136,68,0,273,173,100,0,89,55,34,0,7,5,2,0
,,Wyoming,47,38,9,0,45,36,9,0,41,32,9,0,35,29,6,0,23,19,4,0,14,11,3,0,0,0,0,0
,18-34 Years,All Donor States of Residence,63600,44564,19036,0,60738,42728,18010,0,54491,38498,15993,0,35804,27252,8552,0,24101,17814,6287,0,17176,12092,5084,0,803,522,281,0
,,Alabama,1170,817,353,0,1128,790,338,0,1004,715,289,0,627,483,144,0,363,281,82,0,298,220,78,0,4,3,1,0
,,Alaska,209,151,58,0,205,147,58,0,182,136,46,0,111,91,20,0,88,73,15,0,66,52,14,0,0,0,0,0
,,Arizona,1248,903,345,0,1220,887,333,0,1089,803,286,0,668,519,149,0,410,314,96,0,369,260,109,0,10,9,1,0
,,Arkansas,699,484,215,0,665,460,205,0,608,423,185,0,421,314,107,0,246,175,71,0,197,128,69,0,23,16,7,0
,,California,6324,4617,1707,0,6091,4454,1637,0,5545,4060,1485,0,3934,3108,826,0,2349,1774,575,0,1812,1314,498,0,25,14,11,0
,,Colorado,925,628,297,0,899,609,290,0,812,560,252,0,531,404,127,0,354,253,101,0,230,154,76,0,4,3,1,0
,,Connecticut,553,402,151,0,533,389,144,0,460,336,124,0,303,240,63,0,181,141,40,0,108,80,28,0,5,4,1,0
,,Delaware,269,190,79,0,259,180,79,0,224,157,67,0,152,114,38,0,115,88,27,0,83,62,21,0,4,3,1,0
,,District of Columbia,161,131,30,0,157,128,29,0,135,111,24,0,104,87,17,0,95,79,16,0,57,45,12,0,4,3,1,0
,,Florida,4131,2904,1227,0,3901,2756,1145,0,3581,2548,1033,0,2182,1649,533,0,1458,1085,373,0,1062,730,332,0,87,54,33,0
,,Georgia,1769,1213,556,0,1636,1122,514,0,1554,1081,473,0,1089,814,275,0,567,422,145,0,511,350,161,0,21,12,9,0
,,Hawaii,195,153,42,0,193,152,41,0,154,121,33,0,31,25,6,0,64,54,10,0,14,8,6,0,0,0,0,0
,,Idaho,270,188,82,0,261,183,78,0,237,167,70,0,152,117,35,0,93,73,20,0,65,46,19,0,1,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Illinois,2598,1851,747,0,2479,1779,700,0,2163,1542,621,0,1384,1065,319,0,1251,919,332,0,758,546,212,0,30,26,4,0
,,Indiana,1523,1048,475,0,1448,997,451,0,1351,931,420,0,884,667,217,0,582,426,156,0,468,325,143,0,87,58,29,0
,,Iowa,550,377,173,0,536,369,167,0,479,326,153,0,295,220,75,0,246,177,69,0,150,106,44,0,6,4,2,0
,,Kansas,758,537,221,0,736,521,215,0,653,462,191,0,401,310,91,0,318,229,89,0,213,153,60,0,8,4,4,0
,,Kentucky,936,657,279,0,891,625,266,0,810,571,239,0,513,393,120,0,386,287,99,0,236,183,53,0,7,5,2,0
,,Louisiana,1296,918,378,0,1213,864,349,0,1181,844,337,0,750,592,158,0,529,404,125,0,372,263,109,0,12,11,1,0
,,Maine,284,195,89,0,277,191,86,0,240,167,73,0,157,118,39,0,99,72,27,0,62,45,17,0,3,3,0,0
,,Maryland,1229,866,363,0,1178,837,341,0,1088,764,324,0,677,521,156,0,629,466,163,0,403,289,114,0,16,12,4,0
,,Massachusetts,1028,718,310,0,979,688,291,0,837,582,255,0,530,395,135,0,295,226,69,0,198,146,52,0,9,6,3,0
,,Michigan,2127,1449,678,0,2038,1401,637,0,1708,1194,514,0,1094,814,280,0,682,511,171,0,604,423,181,0,37,21,16,0
,,Minnesota,900,620,280,0,877,603,274,0,787,545,242,0,537,385,152,0,577,404,173,0,263,176,87,0,24,16,8,0
,,Mississippi,577,387,190,0,553,372,181,0,475,330,145,0,303,221,82,0,197,147,50,0,141,99,42,0,8,7,1,0
,,Missouri,1651,1150,501,0,1551,1084,467,0,1420,1003,417,0,907,676,231,0,601,442,159,0,553,386,167,0,27,17,10,0
,,Montana,202,146,56,0,195,142,53,0,176,129,47,0,125,98,27,0,87,68,19,0,42,30,12,0,3,2,1,0
,,Nebraska,363,247,116,0,353,243,110,0,321,221,100,0,215,153,62,0,178,121,57,0,103,66,37,0,8,2,6,0
,,Nevada,528,359,169,0,499,337,162,0,457,309,148,0,299,227,72,0,171,124,47,0,140,96,44,0,3,2,1,0
,,New Hampshire,204,133,71,0,194,127,67,0,168,113,55,0,107,77,30,0,71,45,26,0,45,26,19,0,2,2,0,0
,,New Jersey,1413,942,471,0,1348,905,443,0,1179,795,384,0,780,564,216,0,560,380,180,0,331,221,110,0,6,3,3,0
,,New Mexico,514,364,150,0,492,352,140,0,423,297,126,0,274,214,60,0,123,93,30,0,101,71,30,0,7,5,2,0
,,New York,2617,1804,813,0,2458,1712,746,0,2198,1526,672,0,1424,1078,346,0,880,631,249,0,441,299,142,0,23,14,9,0
,,North Carolina,1883,1334,549,0,1784,1268,516,0,1602,1136,466,0,1088,845,243,0,802,585,217,0,571,419,152,0,26,18,8,0
,,North Dakota,136,92,44,0,132,91,41,0,121,80,41,0,74,54,20,0,77,52,25,0,34,20,14,0,2,2,0,0
,,Ohio,2655,1784,871,0,2516,1696,820,0,2253,1544,709,0,1364,989,375,0,1182,858,324,0,698,475,223,0,49,30,19,0
,,Oklahoma,901,634,267,0,850,600,250,0,759,532,227,0,487,363,124,0,230,172,58,0,218,160,58,0,4,1,3,0
,,Oregon,606,431,175,0,591,424,167,0,515,372,143,0,323,246,77,0,218,167,51,0,117,84,33,0,0,0,0,0
,,Pennsylvania,3285,2290,995,0,3152,2200,952,0,2821,1981,840,0,1753,1328,425,0,1339,967,372,0,979,674,305,0,61,40,21,0
,,Puerto Rico,508,381,127,0,485,368,117,0,448,340,108,0,238,202,36,0,173,137,36,0,123,99,24,0,16,11,5,0
,,Rhode Island,148,97,51,0,139,92,47,0,101,70,31,0,80,57,23,0,45,31,14,0,22,12,10,0,2,1,1,0
,,South Carolina,1035,733,302,0,994,712,282,0,915,652,263,0,646,512,134,0,419,321,98,0,314,236,78,0,7,4,3,0
,,South Dakota,161,106,55,0,158,105,53,0,143,94,49,0,91,67,24,0,98,65,33,0,46,30,16,0,3,1,2,0
